Device_1 - Score 25
Device_2 - Score 25
Device_1 - Score 25
Device_3 - Score 25
Device_1 - Score 25
Device_3 - Score 25
Device_1 - Score 25
Device_3 - Score 25
Device_2 - Score 25CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_2 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_1 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
Device_3 - Score 25 CRITICAL sent
